Elapsed_Time_s,Recording_Time_s,Voltage_V,Current_A
2.8550,1.6570,2.2885,0.023094
2.8710,1.6711,2.0611,0.021342
2.8870,1.6871,1.7576,0.017957
2.9030,1.7031,1.5187,0.015973
2.9190,1.7221,1.2656,0.013108
2.9350,1.7351,1.0407,0.010640
2.9500,1.7527,0.8583,0.009011
2.9650,1.7657,0.6271,0.007239
2.9810,1.7827,0.3719,0.004380
2.9970,1.7977,0.1379,0.001815
3.0120,1.8127,-0.1403,-0.000956
3.0280,1.8287,-0.3453,-0.002761
3.0440,1.8447,-0.6691,-0.006543
3.0600,1.8602,-0.8678,-0.007883
3.0750,1.8752,-1.1005,-0.010509
3.0910,1.8912,-1.3847,-0.013154
3.1070,1.9082,-1.5748,-0.014987
3.1220,1.9222,-1.8332,-0.017790
3.1380,1.9382,-2.0796,-0.020508
3.1530,1.9537,-2.2520,-0.021795
3.1690,1.9697,-2.4512,-0.023997
3.1850,1.9857,-2.7055,-0.026859
3.2000,2.0007,-2.8846,-0.027982
3.2160,2.0167,-3.1200,-0.030542
3.2310,2.0347,-3.2676,-0.032485
3.2470,2.0472,-3.4679,-0.034043
3.2630,2.0642,-3.6544,-0.035645
3.2780,2.0787,-3.7744,-0.037443
3.2930,2.0957,-3.8911,-0.038027
3.3090,2.1097,-4.1258,-0.040446
3.3240,2.1247,-4.2086,-0.041102
3.3400,2.1407,-4.3356,-0.043007
3.3560,2.1602,-4.4872,-0.044331
3.3720,2.1722,-4.5980,-0.044982
3.3870,2.1902,-4.6172,-0.045948
3.4030,2.2032,-4.7056,-0.046397
3.4180,2.2212,-4.7610,-0.047316
3.4340,2.2342,-4.8737,-0.048709
3.4490,2.2508,-4.8687,-0.048603
3.4650,2.2658,-4.8756,-0.047857
3.4800,2.2808,-4.9762,-0.048932
3.4960,2.2968,-4.9925,-0.049789
3.5120,2.3158,-4.9927,-0.049374
3.5270,2.3278,-4.9228,-0.048847
3.5430,2.3483,-4.8994,-0.048163
3.5590,2.3593,-4.8623,-0.048387
3.5740,2.3748,-4.8156,-0.048009
3.5890,2.3898,-4.7162,-0.046244
3.6050,2.4068,-4.7008,-0.046329
3.6200,2.4208,-4.5808,-0.045612
3.6360,2.4375,-4.5503,-0.044695
3.6520,2.4520,-4.4376,-0.044258
3.6670,2.4740,-4.3173,-0.042739
3.6830,2.4830,-4.1136,-0.040148
3.6990,2.5040,-4.0385,-0.039604
3.7140,2.5140,-3.8138,-0.037615
3.7300,2.5310,-3.7450,-0.037281
3.7460,2.5460,-3.5156,-0.034518
3.7620,2.5630,-3.3205,-0.032310
3.7770,2.5770,-3.1822,-0.030873
3.7920,2.5930,-3.0371,-0.029692
3.8080,2.6080,-2.7939,-0.027872
3.8240,2.6240,-2.6255,-0.026177
3.8390,2.6390,-2.3982,-0.023279
3.8550,2.6590,-2.1541,-0.021323
3.8710,2.6710,-1.9594,-0.018595
3.8870,2.6890,-1.6808,-0.016322
3.9030,2.7030,-1.4714,-0.014339
3.9190,2.7190,-1.2475,-0.012148
3.9340,2.7340,-1.0118,-0.009668
3.9500,2.7501,-0.6882,-0.006442
3.9660,2.7661,-0.4733,-0.004182
3.9810,2.7841,-0.2194,-0.001620
3.9970,2.7971,-0.0333,0.000422
4.0130,2.8131,0.2857,0.003115
4.0290,2.8291,0.5105,0.005816
4.0450,2.8451,0.7426,0.008300
4.0610,2.8611,0.9703,0.010029
4.0760,2.8766,1.2143,0.012948
4.0920,2.8926,1.4587,0.014817
4.1080,2.9106,1.7382,0.018008
4.1230,2.9236,1.9101,0.019841
4.1390,2.9406,2.1170,0.021927
4.1550,2.9551,2.3848,0.024335
4.1710,2.9711,2.6063,0.026957
4.1870,2.9871,2.8113,0.028607
4.2020,3.0021,2.9714,0.030565
4.2180,3.0181,3.2579,0.033441
4.2330,3.0332,3.4303,0.034846
4.2490,3.0492,3.5373,0.035739
4.2650,3.0672,3.7132,0.037783
4.2810,3.0813,3.9431,0.039475
4.2960,3.0963,4.0797,0.040801
4.3120,3.1123,4.2421,0.042922
4.3280,3.1283,4.3659,0.044000
4.3430,3.1438,4.4957,0.045898
4.3590,3.1598,4.6054,0.046344
4.3750,3.1758,4.7063,0.047994
4.3910,3.1918,4.7775,0.047978
4.4060,3.2068,4.8290,0.049253
4.4220,3.2228,4.8823,0.049653
4.4370,3.2378,4.9263,0.049619
4.4530,3.2533,5.0203,0.051026
4.4690,3.2693,5.0399,0.050652
4.4850,3.2853,5.0831,0.051298
4.5010,3.3023,5.0132,0.050343
4.5160,3.3163,5.0032,0.050277
4.5320,3.3333,5.0593,0.050905
4.5470,3.3475,4.9830,0.050275
4.5630,3.3635,4.9763,0.050108
4.5790,3.3795,4.9322,0.050272
4.5950,3.3950,4.8106,0.048364
4.6110,3.4110,4.7650,0.048554
4.6260,3.4270,4.6234,0.046650
4.6410,3.4410,4.5869,0.046809
4.6560,3.4565,4.4311,0.045067
4.6720,3.4725,4.3776,0.044323
4.6870,3.4875,4.2392,0.042607
4.7020,3.5025,4.0417,0.041145
4.7180,3.5185,3.9427,0.039711
4.7340,3.5345,3.7673,0.038036
4.7500,3.5505,3.6160,0.036798
4.7650,3.5655,3.4574,0.035373
4.7810,3.5815,3.2167,0.032773
4.7960,3.5965,3.0809,0.030946
4.8120,3.6125,2.8309,0.028885
4.8280,3.6295,2.5875,0.026108
4.8440,3.6441,2.4498,0.025045
4.8600,3.6601,2.2077,0.022423
4.8750,3.6751,1.9448,0.020151
4.8910,3.6911,1.6819,0.016854
4.9070,3.7071,1.5110,0.015766
4.9220,3.7261,1.2816,0.013647
4.9380,3.7381,0.9891,0.010054
4.9530,3.7536,0.7646,0.007745
4.9690,3.7696,0.5685,0.006541
4.9840,3.7846,0.2749,0.003626
4.9990,3.7996,0.1068,0.001936
5.0150,3.8156,-0.2307,-0.002075
5.0310,3.8316,-0.4021,-0.003360
5.0470,3.8477,-0.6698,-0.006003
5.0630,3.8637,-0.9265,-0.008565
5.0780,3.8787,-1.1564,-0.010710
5.0940,3.8947,-1.4415,-0.013691
5.1100,3.9102,-1.6534,-0.015625
5.1260,3.9262,-1.8653,-0.017997
5.1410,3.9412,-2.1297,-0.020598
5.1560,3.9567,-2.3418,-0.023185
5.1710,3.9737,-2.5029,-0.024712
5.1870,3.9877,-2.7356,-0.026735
5.2030,4.0037,-2.9629,-0.029529
5.2180,4.0187,-3.1589,-0.031155
5.2340,4.0347,-3.3218,-0.032662
5.2490,4.0498,-3.4522,-0.034426
5.2650,4.0658,-3.6509,-0.035869
5.2810,4.0810,-3.8534,-0.037876
5.2960,4.0960,-3.9892,-0.039736
5.3120,4.1120,-4.1390,-0.041313
5.3280,4.1300,-4.2425,-0.042128
5.3440,4.1440,-4.3181,-0.042387
